;This file was generated by make_test_image.py
;Identifier is the unique number written into each sector half
;All numbers in hexadecimal

;PET Track, PET Sector, PET Sector Half (0 or 1), Identifier
01,00,0,0000
01,00,1,0001
01,01,0,0002
01,01,1,0003
01,02,0,0004
01,02,1,0005
01,03,0,0006
01,03,1,0007
01,04,0,0008
01,04,1,0009
01,05,0,000A
01,05,1,000B
01,06,0,000C
01,06,1,000D
01,07,0,000E
01,07,1,000F
01,08,0,0010
01,08,1,0011
01,09,0,0012
01,09,1,0013
01,0A,0,0014
01,0A,1,0015
01,0B,0,0016
01,0B,1,0017
01,0C,0,0018
01,0C,1,0019
01,0D,0,001A
01,0D,1,001B
01,0E,0,001C
01,0E,1,001D
01,0F,0,001E
01,0F,1,001F
01,10,0,0020
01,10,1,0021
01,11,0,0022
01,11,1,0023
01,12,0,0024
01,12,1,0025
01,13,0,0026
01,13,1,0027
01,14,0,0028
01,14,1,0029
01,15,0,002A
01,15,1,002B
01,16,0,002C
01,16,1,002D
01,17,0,002E
01,17,1,002F
01,18,0,0030
01,18,1,0031
01,19,0,0032
01,19,1,0033
01,1A,0,0034
01,1A,1,0035
01,1B,0,0036
01,1B,1,0037
01,1C,0,0038
01,1C,1,0039
02,00,0,003A
02,00,1,003B
02,01,0,003C
02,01,1,003D
02,02,0,003E
02,02,1,003F
02,03,0,0040
02,03,1,0041
02,04,0,0042
02,04,1,0043
02,05,0,0044
02,05,1,0045
02,06,0,0046
02,06,1,0047
02,07,0,0048
02,07,1,0049
02,08,0,004A
02,08,1,004B
02,09,0,004C
02,09,1,004D
02,0A,0,004E
02,0A,1,004F
02,0B,0,0050
02,0B,1,0051
02,0C,0,0052
02,0C,1,0053
02,0D,0,0054
02,0D,1,0055
02,0E,0,0056
02,0E,1,0057
02,0F,0,0058
02,0F,1,0059
02,10,0,005A
02,10,1,005B
02,11,0,005C
02,11,1,005D
02,12,0,005E
02,12,1,005F
02,13,0,0060
02,13,1,0061
02,14,0,0062
02,14,1,0063
02,15,0,0064
02,15,1,0065
02,16,0,0066
02,16,1,0067
02,17,0,0068
02,17,1,0069
02,18,0,006A
02,18,1,006B
02,19,0,006C
02,19,1,006D
