;This file was generated by the SoftBox using readall.com
;Identifier is the unique number read from the test image
;All numbers in hexadecimal
;
;CP/M Track, CP/M Sector, Identifier
0C,10,0190
0C,11,0191
0C,12,0192
0C,13,0193
0C,14,0194
0C,15,0195
0C,16,0196
0C,17,0197
0C,18,0198
0C,19,0199
0C,1A,019A
0C,1B,019B
0C,1C,019C
0C,1D,019D
0C,1E,019E
0C,1F,019F
0D,00,01A0
0D,01,01A1
0D,02,01A2
0D,03,01A3
0D,04,01A4
0D,05,01A5
0D,06,01A6
0D,07,01A7
0D,08,01A8
0D,09,01A9
0D,0A,01AA
0D,0B,01AB
0D,0C,01AC
0D,0D,01AD
0D,0E,01AE
0D,0F,01AF
0D,10,01B0
0D,11,01B1
0D,12,01B2
0D,13,01B3
0D,14,01B4
0D,15,01B5
0D,16,01B6
0D,17,01B7
0D,18,01B8
0D,19,01B9
0D,1A,01BA
0D,1B,01BB
0D,1C,01BC
0D,1D,01BD
0D,1E,01BE
0D,1F,01BF
0E,00,01C0
0E,01,01C1
0E,02,01C2
0E,03,01C3
0E,04,01C4
0E,05,01C5
0E,06,01C6
0E,07,01C7
0E,08,01C8
0E,09,01C9
0E,0A,01CA
0E,0B,01CB
0E,0C,01CC
0E,0D,01CD
0E,0E,01CE
0E,0F,01CF
0E,10,01D0
0E,11,01D1
0E,12,01D2
0E,13,01D3
0E,14,01D4
0E,15,01D5
0E,16,01D6
0E,17,01D7
0E,18,01D8
0E,19,01D9
0E,1A,01DA
0E,1B,01DB
0E,1C,01DC
0E,1D,01DD
0E,1E,01DE
0E,1F,01DF
0F,00,01E0
0F,01,01E1
0F,02,01E2
0F,03,01E3
0F,04,01E4
0F,05,01E5
0F,06,01E6
0F,07,01E7
0F,08,01E8
0F,09,01E9
0F,0A,01EA
0F,0B,01EB
0F,0C,01EC
0F,0D,01ED
0F,0E,01EE
0F,0F,01EF
0F,10,01F0
0F,11,01F1
0F,12,01F2
0F,13,01F3
0F,14,01F4
0F,15,01F5
0F,16,01F6
0F,17,01F7
0F,18,01F8
0F,19,01F9
0F,1A,01FA
0F,1B,01FB
0F,1C,01FC
0F,1D,01FD
0F,1E,01FE
0F,1F,01FF
10,00,0200
10,01,0201
10,02,0202
10,03,0203
10,04,0204
10,05,0205
10,06,0206
10,07,0207
10,08,0208
10,09,0209
10,0A,020A
10,0B,020B
10,0C,020C
10,0D,020D
10,0E,020E
10,0F,020F
10,10,0210
10,11,0211
10,12,0212
10,13,0213
10,14,0214
10,15,0215
10,16,0216
10,17,0217
10,18,0218
10,19,0219
10,1A,021A
10,1B,021B
10,1C,021C
10,1D,021D
10,1E,021E
10,1F,021F
11,00,0220
11,01,0221
11,02,0222
11,03,0223
11,04,0224
11,05,0225
11,06,0226
11,07,0227
11,08,0228
11,09,0229
11,0A,022A
11,0B,022B
11,0C,022C
11,0D,022D
11,0E,022E
11,0F,022F
11,10,0230
11,11,0231
11,12,0232
11,13,0233
11,14,0234
11,15,0235
11,16,0236
11,17,0237
11,18,0238
11,19,0239
11,1A,023A
11,1B,023B
11,1C,023C
11,1D,023D
11,1E,023E
11,1F,023F
12,00,0240
12,01,0241
12,02,0242
12,03,0243
12,04,0244
12,05,0245
12,06,0246
12,07,0247
12,08,0248
12,09,0249
12,0A,024A
12,0B,024B
12,0C,024C
12,0D,024D
12,0E,024E
12,0F,024F
12,10,0250
12,11,0251
12,12,0252
12,13,0253
12,14,0254
12,15,0255
12,16,0256
12,17,0257
12,18,0258
12,19,0259
12,1A,025A
12,1B,025B
12,1C,025C
12,1D,025D
12,1E,025E
12,1F,025F
13,00,0260
13,01,0261
13,02,0262
13,03,0263
13,04,0264
13,05,0265
13,06,0266
13,07,0267
13,08,0268
13,09,0269
13,0A,026A
13,0B,026B
13,0C,026C
13,0D,026D
13,0E,026E
13,0F,026F
13,10,0270
13,11,0271
13,12,0272
13,13,0273
13,14,0274
13,15,0275
13,16,02F0
13,17,02F1
13,18,02F2
13,19,02F3
13,1A,02F4
13,1B,02F5
13,1C,02F6
13,1D,02F7
13,1E,02F8
13,1F,02F9
14,00,02FA
14,01,02FB
14,02,02FC
14,03,02FD
14,04,02FE
14,05,02FF
14,06,0300
14,07,0301
14,08,0302
14,09,0303
14,0A,0304
14,0B,0305
14,0C,0306
14,0D,0307
14,0E,0308
14,0F,0309
14,10,030A
14,11,030B
14,12,030C
14,13,030D
14,14,030E
14,15,030F
14,16,0310
14,17,0311
14,18,0312
14,19,0313
14,1A,0314
14,1B,0315
14,1C,0316
14,1D,0317
14,1E,0318
14,1F,0319
15,00,031A
15,01,031B
15,02,031C
15,03,031D
15,04,031E
15,05,031F
15,06,0320
15,07,0321
15,08,0322
15,09,0323
15,0A,0324
15,0B,0325
15,0C,0326
15,0D,0327
15,0E,0328
15,0F,0329
15,10,032A
15,11,032B
15,12,032C
15,13,032D
15,14,032E
15,15,032F
15,16,0330
15,17,0331
15,18,0332
15,19,0333
15,1A,0334
15,1B,0335
15,1C,0336
15,1D,0337
15,1E,0338
15,1F,0339
16,00,033A
16,01,033B
16,02,033C
16,03,033D
16,04,033E
16,05,033F
16,06,0340
16,07,0341
16,08,0342
16,09,0343
16,0A,0344
16,0B,0345
16,0C,0346
16,0D,0347
16,0E,0348
16,0F,0349
16,10,034A
16,11,034B
16,12,034C
16,13,034D
16,14,034E
16,15,034F
16,16,0350
16,17,0351
16,18,0352
16,19,0353
16,1A,0354
16,1B,0355
16,1C,0356
16,1D,0357
16,1E,0358
16,1F,0359
17,00,035A
17,01,035B
17,02,035C
17,03,035D
17,04,035E
17,05,035F
17,06,0360
17,07,0361
17,08,0362
17,09,0363
17,0A,0364
17,0B,0365
17,0C,0366
17,0D,0367
17,0E,0368
17,0F,0369
17,10,036A
17,11,036B
17,12,036C
17,13,036D
17,14,036E
17,15,036F
17,16,0370
17,17,0371
17,18,0372
17,19,0373
17,1A,0374
17,1B,0375
17,1C,0376
17,1D,0377
17,1E,0378
17,1F,0379
18,00,037A
18,01,037B
18,02,037C
18,03,037D
18,04,037E
18,05,037F
18,06,0380
18,07,0381
18,08,0382
18,09,0383
18,0A,0384
18,0B,0385
18,0C,0386
18,0D,0387
18,0E,0388
18,0F,0389
18,10,038A
18,11,038B
18,12,038C
18,13,038D
18,14,038E
18,15,038F
18,16,0390
18,17,0391
18,18,0392
18,19,0393
18,1A,0394
18,1B,0395
18,1C,0396
18,1D,0397
18,1E,0398
18,1F,0399
19,00,039A
19,01,039B
19,02,039C
19,03,039D
19,04,039E
19,05,039F
19,06,03A0
19,07,03A1
19,08,03A2
19,09,03A3
19,0A,03A4
19,0B,03A5
19,0C,03A6
19,0D,03A7
19,0E,03A8
19,0F,03A9
19,10,03AA
19,11,03AB
19,12,03AC
19,13,03AD
19,14,03AE
19,15,03AF
19,16,03B0
19,17,03B1
19,18,03B2
19,19,03B3
19,1A,03B4
19,1B,03B5
19,1C,03B6
19,1D,03B7
19,1E,03B8
19,1F,03B9
1A,00,03BA
1A,01,03BB
1A,02,03BC
1A,03,03BD
1A,04,03BE
1A,05,03BF
1A,06,03C0
1A,07,03C1
1A,08,03C2
1A,09,03C3
1A,0A,03C4
1A,0B,03C5
1A,0C,03C6
1A,0D,03C7
1A,0E,03C8
1A,0F,03C9
1A,10,03CA
1A,11,03CB
1A,12,03CC
1A,13,03CD
1A,14,03CE
1A,15,03CF
1A,16,03D0
1A,17,03D1
1A,18,03D2
1A,19,03D3
1A,1A,03D4
1A,1B,03D5
1A,1C,03D6
1A,1D,03D7
1A,1E,03D8
1A,1F,03D9
1B,00,03DA
1B,01,03DB
1B,02,03DC
1B,03,03DD
1B,04,03DE
1B,05,03DF
1B,06,03E0
1B,07,03E1
1B,08,03E2
1B,09,03E3
1B,0A,03E4
1B,0B,03E5
1B,0C,03E6
1B,0D,03E7
1B,0E,03E8
1B,0F,03E9
1B,10,03EA
1B,11,03EB
1B,12,03EC
1B,13,03ED
1B,14,03EE
1B,15,03EF
1B,16,03F0
1B,17,03F1
1B,18,03F2
1B,19,03F3
1B,1A,03F4
1B,1B,03F5
1B,1C,03F6
1B,1D,03F7
1B,1E,03F8
1B,1F,03F9
1C,00,03FA
1C,01,03FB
1C,02,03FC
1C,03,03FD
1C,04,03FE
1C,05,03FF
1C,06,0400
1C,07,0401
1C,08,0402
1C,09,0403
1C,0A,0404
1C,0B,0405
1C,0C,0406
1C,0D,0407
1C,0E,0408
1C,0F,0409
1C,10,040A
1C,11,040B
1C,12,040C
1C,13,040D
1C,14,040E
1C,15,040F
1C,16,0410
1C,17,0411
1C,18,0412
1C,19,0413
1C,1A,0414
1C,1B,0415
1C,1C,0416
1C,1D,0417
1C,1E,0418
1C,1F,0419
1D,00,041A
1D,01,041B
1D,02,041C
1D,03,041D
1D,04,041E
1D,05,041F
1D,06,0420
1D,07,0421
1D,08,0422
1D,09,0423
1D,0A,0424
1D,0B,0425
1D,0C,0426
1D,0D,0427
1D,0E,0428
1D,0F,0429
1D,10,042A
1D,11,042B
1D,12,042C
1D,13,042D
1D,14,042E
1D,15,042F
1D,16,0430
1D,17,0431
1D,18,0432
1D,19,0433
1D,1A,0434
1D,1B,0435
1D,1C,0436
1D,1D,0437
1D,1E,0438
1D,1F,0439
1E,00,043A
1E,01,043B
1E,02,043C
1E,03,043D
1E,04,043E
1E,05,043F
1E,06,0440
1E,07,0441
1E,08,0442
1E,09,0443
1E,0A,0444
1E,0B,0445
1E,0C,0446
1E,0D,0447
1E,0E,0448
1E,0F,0449
1E,10,044A
1E,11,044B
1E,12,044C
1E,13,044D
1E,14,044E
1E,15,044F
1E,16,0450
1E,17,0451
1E,18,0452
1E,19,0453
1E,1A,0454
1E,1B,0455
1E,1C,0456
1E,1D,0457
1E,1E,0458
1E,1F,0459
1F,00,045A
1F,01,045B
1F,02,045C
1F,03,045D
1F,04,045E
1F,05,045F
1F,06,0460
1F,07,0461
1F,08,0462
1F,09,0463
1F,0A,0464
1F,0B,0465
1F,0C,0466
1F,0D,0467
1F,0E,0468
1F,0F,0469
1F,10,046A
1F,11,046B
1F,12,046C
1F,13,046D
1F,14,046E
1F,15,046F
1F,16,0470
1F,17,0471
1F,18,0472
1F,19,0473
1F,1A,0474
1F,1B,0475
1F,1C,0476
1F,1D,0477
1F,1E,0478
1F,1F,0479
20,00,047A
20,01,047B
20,02,047C
20,03,047D
20,04,047E
20,05,047F
20,06,0480
20,07,0481
20,08,0482
20,09,0483
20,0A,0484
20,0B,0485
20,0C,0486
20,0D,0487
20,0E,0488
20,0F,0489
20,10,048A
20,11,048B
20,12,048C
20,13,048D
20,14,048E
20,15,048F
20,16,0490
20,17,0491
20,18,0492
20,19,0493
20,1A,0494
20,1B,0495
20,1C,0496
20,1D,0497
20,1E,0498
20,1F,0499
21,00,049A
21,01,049B
21,02,049C
21,03,049D
21,04,049E
21,05,049F
21,06,04A0
21,07,04A1
21,08,04A2
21,09,04A3
21,0A,04A4
21,0B,04A5
21,0C,04A6
21,0D,04A7
21,0E,04A8
21,0F,04A9
21,10,04AA
21,11,04AB
21,12,04AC
21,13,04AD
21,14,04AE
21,15,04AF
21,16,04B0
21,17,04B1
21,18,04B2
21,19,04B3
21,1A,04B4
21,1B,04B5
21,1C,04B6
21,1D,04B7
21,1E,04B8
21,1F,04B9
22,00,04BA
22,01,04BB
22,02,04BC
22,03,04BD
22,04,04BE
22,05,04BF
22,06,04C0
22,07,04C1
22,08,04C2
22,09,04C3
22,0A,04C4
22,0B,04C5
22,0C,04C6
22,0D,04C7
22,0E,04C8
22,0F,04C9
22,10,04CA
22,11,04CB
22,12,04CC
22,13,04CD
22,14,04CE
22,15,04CF
22,16,04D0
22,17,04D1
22,18,04D2
22,19,04D3
22,1A,04D4
22,1B,04D5
22,1C,04D6
22,1D,04D7
22,1E,04D8
22,1F,04D9
23,00,04DA
23,01,04DB
23,02,04DC
23,03,04DD
23,04,04DE
23,05,04DF
23,06,04E0
23,07,04E1
23,08,04E2
23,09,04E3
23,0A,04E4
23,0B,04E5
23,0C,04E6
23,0D,04E7
23,0E,04E8
23,0F,04E9
23,10,04EA
23,11,04EB
23,12,04EC
23,13,04ED
23,14,04EE
23,15,04EF
23,16,04F0
23,17,04F1
23,18,04F2
23,19,04F3
23,1A,04F4
23,1B,04F5
23,1C,04F6
23,1D,04F7
23,1E,04F8
23,1F,04F9
24,00,04FA
24,01,04FB
24,02,04FC
24,03,04FD
24,04,04FE
24,05,04FF
24,06,0500
24,07,0501
24,08,0502
24,09,0503
24,0A,0504
24,0B,0505
24,0C,0506
24,0D,0507
24,0E,0508
24,0F,0509
24,10,050A
24,11,050B
24,12,050C
24,13,050D
24,14,050E
24,15,050F
24,16,0510
24,17,0511
24,18,0512
24,19,0513
24,1A,0514
24,1B,0515
24,1C,0516
24,1D,0517
24,1E,0518
24,1F,0519
25,00,051A
25,01,051B
25,02,051C
25,03,051D
25,04,051E
25,05,051F
25,06,0520
25,07,0521
25,08,0522
25,09,0523
25,0A,0524
25,0B,0525
25,0C,0526
25,0D,0527
25,0E,0528
25,0F,0529
25,10,052A
25,11,052B
25,12,052C
25,13,052D
25,14,052E
25,15,052F
25,16,0530
25,17,0531
25,18,0532
25,19,0533
25,1A,0534
25,1B,0535
25,1C,0536
25,1D,0537
25,1E,0538
25,1F,0539
26,00,053A
26,01,053B
26,02,053C
26,03,053D
26,04,053E
26,05,053F
26,06,0540
26,07,0541
26,08,0542
26,09,0543
26,0A,0544
26,0B,0545
26,0C,0546
26,0D,0547
26,0E,0548
26,0F,0549
26,10,054A
26,11,054B
26,12,054C
26,13,054D
26,14,054E
26,15,054F
26,16,0550
26,17,0551
26,18,0552
26,19,0553
26,1A,0554
26,1B,0555

BDOS err on C: Unknown error code
66,ILLEGAL TRACK OR SECTOR,36,0026,1C,0554
26,1D,0555

BDOS err on C: Unknown error code
66,ILLEGAL TRACK OR SECTOR,36,0126,1E,0554
26,1F,0555

BDOS err on C: Unknown error code
66,ILLEGAL TRACK OR SECTOR,36,0227,00,0554
27,01,0555

BDOS err on C: Unknown error code
66,ILLEGAL TRACK OR SECTOR,36,0327,02,0554
27,03,0555

BDOS err on C: Unknown error code
66,ILLEGAL TRACK OR SECTOR,36,0427,04,0554
27,05,0555

BDOS err on C: Unknown error code
66,ILLEGAL TRACK OR SECTOR,36,0527,06,0554
27,07,0555

BDOS err on C: Unknown error code
66,ILLEGAL TRACK OR SECTOR,36,0627,08,0554
27,09,0555

BDOS err on C: Unknown error code
66,ILLEGAL TRACK OR SECTOR,36,0727,0A,0554
27,0B,0555

BDOS err on C: Unknown error code
66,ILLEGAL TRACK OR SECTOR,36,0827,0C,0554
27,0D,0555

BDOS err on C: Unknown error code
66,ILLEGAL TRACK OR SECTOR,36,0927,0E,0554
27,0F,0555

BDOS err on C: Unknown error code
66,ILLEGAL TRACK OR SECTOR,36,1027,10,0554
27,11,0555

BDOS err on C: Unknown error code
66,ILLEGAL TRACK OR SECTOR,36,1127,12,0554
27,13,0555

BDOS err on C: Unknown error code
66,ILLEGAL TRACK OR SECTOR,36,1227,14,0554
27,15,0555

BDOS err on C: Unknown error code
66,ILLEGAL TRACK OR SECTOR,36,1327,16,0554
27,17,0555

BDOS err on C: Unknown error code
66,ILLEGAL TRACK OR SECTOR,36,1427,18,0554
27,19,0555

BDOS err on C: Unknown error code
66,ILLEGAL TRACK OR SECTOR,36,1527,1A,0554
27,1B,0555

BDOS err on C: Unknown error code
66,ILLEGAL TRACK OR SECTOR,36,1627,1C,0554
27,1D,0555

BDOS err on C: Unknown error code
66,ILLEGAL TRACK OR SECTOR,37,0027,1E,0554
27,1F,0555
