;This file was generated by make_test_image.py
;Identifier is the unique number written into each sector half
;All numbers in hexadecimal

;PET Track, PET Sector, PET Sector Half (0 or 1), Identifier
07,0F,0,011A
07,0F,1,011B
07,10,0,011C
07,10,1,011D
07,11,0,011E
07,11,1,011F
07,12,0,0120
07,12,1,0121
07,13,0,0122
07,13,1,0123
07,14,0,0124
07,14,1,0125
08,00,0,0126
08,00,1,0127
08,01,0,0128
08,01,1,0129
08,02,0,012A
08,02,1,012B
08,03,0,012C
08,03,1,012D
08,04,0,012E
08,04,1,012F
08,05,0,0130
08,05,1,0131
08,06,0,0132
08,06,1,0133
08,07,0,0134
08,07,1,0135
08,08,0,0136
08,08,1,0137
08,09,0,0138
08,09,1,0139
08,0A,0,013A
08,0A,1,013B
08,0B,0,013C
08,0B,1,013D
08,0C,0,013E
08,0C,1,013F
08,0D,0,0140
08,0D,1,0141
08,0E,0,0142
08,0E,1,0143
08,0F,0,0144
08,0F,1,0145
08,10,0,0146
08,10,1,0147
08,11,0,0148
08,11,1,0149
08,12,0,014A
08,12,1,014B
08,13,0,014C
08,13,1,014D
08,14,0,014E
08,14,1,014F
09,00,0,0150
09,00,1,0151
09,01,0,0152
09,01,1,0153
09,02,0,0154
09,02,1,0155
09,03,0,0156
09,03,1,0157
09,04,0,0158
09,04,1,0159
09,05,0,015A
09,05,1,015B
09,06,0,015C
09,06,1,015D
09,07,0,015E
09,07,1,015F
09,08,0,0160
09,08,1,0161
09,09,0,0162
09,09,1,0163
09,0A,0,0164
09,0A,1,0165
09,0B,0,0166
09,0B,1,0167
09,0C,0,0168
09,0C,1,0169
09,0D,0,016A
09,0D,1,016B
09,0E,0,016C
09,0E,1,016D
09,0F,0,016E
09,0F,1,016F
09,10,0,0170
09,10,1,0171
09,11,0,0172
09,11,1,0173
09,12,0,0174
09,12,1,0175
09,13,0,0176
09,13,1,0177
09,14,0,0178
09,14,1,0179
0A,00,0,017A
0A,00,1,017B
0A,01,0,017C
0A,01,1,017D
0A,02,0,017E
0A,02,1,017F
0A,03,0,0180
0A,03,1,0181
0A,04,0,0182
0A,04,1,0183
0A,05,0,0184
0A,05,1,0185
0A,06,0,0186
0A,06,1,0187
0A,07,0,0188
0A,07,1,0189
0A,08,0,018A
0A,08,1,018B
0A,09,0,018C
0A,09,1,018D
0A,0A,0,018E
0A,0A,1,018F
0A,0B,0,0190
0A,0B,1,0191
0A,0C,0,0192
0A,0C,1,0193
0A,0D,0,0194
0A,0D,1,0195
0A,0E,0,0196
0A,0E,1,0197
0A,0F,0,0198
0A,0F,1,0199
0A,10,0,019A
0A,10,1,019B
0A,11,0,019C
0A,11,1,019D
0A,12,0,019E
0A,12,1,019F
0A,13,0,01A0
0A,13,1,01A1
0A,14,0,01A2
0A,14,1,01A3
0B,00,0,01A4
0B,00,1,01A5
0B,01,0,01A6
0B,01,1,01A7
0B,02,0,01A8
0B,02,1,01A9
0B,03,0,01AA
0B,03,1,01AB
0B,04,0,01AC
0B,04,1,01AD
0B,05,0,01AE
0B,05,1,01AF
0B,06,0,01B0
0B,06,1,01B1
0B,07,0,01B2
0B,07,1,01B3
0B,08,0,01B4
0B,08,1,01B5
0B,09,0,01B6
0B,09,1,01B7
0B,0A,0,01B8
0B,0A,1,01B9
0B,0B,0,01BA
0B,0B,1,01BB
0B,0C,0,01BC
0B,0C,1,01BD
0B,0D,0,01BE
0B,0D,1,01BF
0B,0E,0,01C0
0B,0E,1,01C1
0B,0F,0,01C2
0B,0F,1,01C3
0B,10,0,01C4
0B,10,1,01C5
0B,11,0,01C6
0B,11,1,01C7
0B,12,0,01C8
0B,12,1,01C9
0B,13,0,01CA
0B,13,1,01CB
0B,14,0,01CC
0B,14,1,01CD
0C,00,0,01CE
0C,00,1,01CF
0C,01,0,01D0
0C,01,1,01D1
0C,02,0,01D2
0C,02,1,01D3
0C,03,0,01D4
0C,03,1,01D5
0C,04,0,01D6
0C,04,1,01D7
0C,05,0,01D8
0C,05,1,01D9
0C,06,0,01DA
0C,06,1,01DB
0C,07,0,01DC
0C,07,1,01DD
0C,08,0,01DE
0C,08,1,01DF
0C,09,0,01E0
0C,09,1,01E1
0C,0A,0,01E2
0C,0A,1,01E3
0C,0B,0,01E4
0C,0B,1,01E5
0C,0C,0,01E6
0C,0C,1,01E7
0C,0D,0,01E8
0C,0D,1,01E9
0C,0E,0,01EA
0C,0E,1,01EB
0C,0F,0,01EC
0C,0F,1,01ED
0C,10,0,01EE
0C,10,1,01EF
0C,11,0,01F0
0C,11,1,01F1
0C,12,0,01F2
0C,12,1,01F3
0C,13,0,01F4
0C,13,1,01F5
0C,14,0,01F6
