00,00,01,00
00,01,01,01
00,02,01,02
00,03,01,03
00,04,01,04
00,05,01,05
00,06,01,06
00,07,01,07
00,08,01,08
00,09,01,09
00,0A,01,0A
00,0B,01,0B
00,0C,01,0C
00,0D,01,0D
00,0E,01,0E
00,0F,01,0F
00,10,01,10
00,11,01,11
00,12,01,12
00,13,01,13
00,14,01,14
00,15,01,15
00,16,01,16
00,17,01,17
00,18,01,18
00,19,01,19
00,1A,01,1A
00,1B,01,1B
00,1C,01,1C
00,1D,02,00
00,1E,02,01
00,1F,02,02
01,00,01,10
01,01,01,11
01,02,01,12
01,03,01,13
01,04,01,14
01,05,01,15
01,06,01,16
01,07,01,17
01,08,01,18
01,09,01,19
01,0A,01,1A
01,0B,01,1B
01,0C,01,1C
01,0D,02,00
01,0E,02,01
01,0F,02,02
01,10,02,03
01,11,02,04
01,12,02,05
01,13,02,06
01,14,02,07
01,15,02,08
01,16,02,09
01,17,02,0A
01,18,02,0B
01,19,02,0C
01,1A,02,0D
01,1B,02,0E
01,1C,02,0F
01,1D,02,10
01,1E,02,11
01,1F,02,12
02,00,02,03
02,01,02,04
02,02,02,05
02,03,02,06
02,04,02,07
02,05,02,08
02,06,02,09
02,07,02,0A
02,08,02,0B
02,09,02,0C
02,0A,02,0D
02,0B,02,0E
02,0C,02,0F
02,0D,02,10
02,0E,02,11
02,0F,02,12
02,10,02,13
02,11,02,14
02,12,02,15
02,13,02,16
02,14,02,17
02,15,02,18
02,16,02,19
02,17,02,1A
02,18,02,1B
02,19,02,1C
02,1A,03,00
02,1B,03,01
02,1C,03,02
02,1D,03,03
02,1E,03,04
02,1F,03,05
03,00,02,13
03,01,02,14
03,02,02,15
03,03,02,16
03,04,02,17
03,05,02,18
03,06,02,19
03,07,02,1A
03,08,02,1B
03,09,02,1C
03,0A,03,00
03,0B,03,01
03,0C,03,02
03,0D,03,03
03,0E,03,04
03,0F,03,05
03,10,03,06
03,11,03,07
03,12,03,08
03,13,03,09
03,14,03,0A
03,15,03,0B
03,16,03,0C
03,17,03,0D
03,18,03,0E
03,19,03,0F
03,1A,03,10
03,1B,03,11
03,1C,03,12
03,1D,03,13
03,1E,03,14
03,1F,03,15
04,00,03,06
04,01,03,07
04,02,03,08
04,03,03,09
04,04,03,0A
04,05,03,0B
04,06,03,0C
04,07,03,0D
04,08,03,0E
04,09,03,0F
04,0A,03,10
04,0B,03,11
04,0C,03,12
04,0D,03,13
04,0E,03,14
04,0F,03,15
04,10,03,16
04,11,03,17
04,12,03,18
04,13,03,19
04,14,03,1A
04,15,03,1B
04,16,03,1C
04,17,04,00
04,18,04,01
04,19,04,02
04,1A,04,03
04,1B,04,04
04,1C,04,05
04,1D,04,06
04,1E,04,07
04,1F,04,08
05,00,03,16
05,01,03,17
05,02,03,18
05,03,03,19
05,04,03,1A
05,05,03,1B
05,06,03,1C
05,07,04,00
05,08,04,01
05,09,04,02
05,0A,04,03
05,0B,04,04
05,0C,04,05
05,0D,04,06
05,0E,04,07
05,0F,04,08
05,10,04,09
05,11,04,0A
05,12,04,0B
05,13,04,0C
05,14,04,0D
05,15,04,0E
05,16,04,0F
05,17,04,10
05,18,04,11
05,19,04,12
05,1A,04,13
05,1B,04,14
05,1C,04,15
05,1D,04,16
05,1E,04,17
05,1F,04,18
06,00,04,09
06,01,04,0A
06,02,04,0B
06,03,04,0C
06,04,04,0D
06,05,04,0E
06,06,04,0F
06,07,04,10
06,08,04,11
06,09,04,12
06,0A,04,13
06,0B,04,14
06,0C,04,15
06,0D,04,16
06,0E,04,17
06,0F,04,18
06,10,04,19
06,11,04,1A
06,12,04,1B
06,13,04,1C
06,14,05,00
06,15,05,01
06,16,05,02
06,17,05,03
06,18,05,04
06,19,05,05
06,1A,05,06
06,1B,05,07
06,1C,05,08
06,1D,05,09
06,1E,05,0A
06,1F,05,0B
07,00,04,19
07,01,04,1A
07,02,04,1B
07,03,04,1C
07,04,05,00
07,05,05,01
07,06,05,02
07,07,05,03
07,08,05,04
07,09,05,05
07,0A,05,06
07,0B,05,07
07,0C,05,08
07,0D,05,09
07,0E,05,0A
07,0F,05,0B
07,10,05,0C
07,11,05,0D
07,12,05,0E
07,13,05,0F
07,14,05,10
07,15,05,11
07,16,05,12
07,17,05,13
07,18,05,14
07,19,05,15
07,1A,05,16
07,1B,05,17
07,1C,05,18
07,1D,05,19
07,1E,05,1A
07,1F,05,1B
08,00,05,0C
08,01,05,0D
08,02,05,0E
08,03,05,0F
08,04,05,10
08,05,05,11
08,06,05,12
08,07,05,13
08,08,05,14
08,09,05,15
08,0A,05,16
08,0B,05,17
08,0C,05,18
08,0D,05,19
08,0E,05,1A
08,0F,05,1B
08,10,05,1C
08,11,06,00
08,12,06,01
08,13,06,02
08,14,06,03
08,15,06,04
08,16,06,05
08,17,06,06
08,18,06,07
08,19,06,08
08,1A,06,09
08,1B,06,0A
08,1C,06,0B
08,1D,06,0C
08,1E,06,0D
08,1F,06,0E
09,00,05,1C
09,01,06,00
09,02,06,01
09,03,06,02
09,04,06,03
09,05,06,04
09,06,06,05
09,07,06,06
09,08,06,07
09,09,06,08
09,0A,06,09
09,0B,06,0A
09,0C,06,0B
09,0D,06,0C
09,0E,06,0D
09,0F,06,0E
09,10,06,0F
09,11,06,10
09,12,06,11
09,13,06,12
09,14,06,13
