0,0,1,0
0,1,1,1
0,2,1,2
0,3,1,3
0,4,1,4
0,5,1,5
0,6,1,6
0,7,1,7
0,8,1,8
0,9,1,9
0,10,1,10
0,11,1,11
0,12,1,12
0,13,1,13
0,14,1,14
0,15,1,15
0,16,1,16
0,17,1,17
0,18,1,18
0,19,1,19
0,20,1,20
0,21,1,21
0,22,1,22
0,23,1,23
0,24,1,24
0,25,1,25
0,26,1,26
0,27,1,27
0,28,1,28
0,29,2,0
0,30,2,1
0,31,2,2
1,0,1,16
1,1,1,17
1,2,1,18
1,3,1,19
1,4,1,20
1,5,1,21
1,6,1,22
1,7,1,23
1,8,1,24
1,9,1,25
1,10,1,26
1,11,1,27
1,12,1,28
1,13,2,0
1,14,2,1
1,15,2,2
1,16,2,3
1,17,2,4
1,18,2,5
1,19,2,6
1,20,2,7
1,21,2,8
1,22,2,9
1,23,2,10
1,24,2,11
1,25,2,12
1,26,2,13
1,27,2,14
1,28,2,15
1,29,2,16
1,30,2,17
1,31,2,18
2,0,2,3
2,1,2,4
2,2,2,5
2,3,2,6
2,4,2,7
2,5,2,8
2,6,2,9
2,7,2,10
2,8,2,11
2,9,2,12
2,10,2,13
2,11,2,14
2,12,2,15
2,13,2,16
2,14,2,17
2,15,2,18
2,16,2,19
2,17,2,20
2,18,2,21
2,19,2,22
2,20,2,23
2,21,2,24
2,22,2,25
2,23,2,26
2,24,2,27
2,25,2,28
2,26,3,0
2,27,3,1
2,28,3,2
2,29,3,3
2,30,3,4
2,31,3,5
3,0,2,19
3,1,2,20
3,2,2,21
3,3,2,22
3,4,2,23
3,5,2,24
3,6,2,25
3,7,2,26
3,8,2,27
3,9,2,28
3,10,3,0
3,11,3,1
3,12,3,2
3,13,3,3
3,14,3,4
3,15,3,5
3,16,3,6
3,17,3,7
3,18,3,8
3,19,3,9
3,20,3,10
3,21,3,11
3,22,3,12
3,23,3,13
3,24,3,14
3,25,3,15
3,26,3,16
3,27,3,17
3,28,3,18
3,29,3,19
3,30,3,20
3,31,3,21
4,0,3,6
4,1,3,7
4,2,3,8
4,3,3,9
4,4,3,10
4,5,3,11
4,6,3,12
4,7,3,13
4,8,3,14
4,9,3,15
4,10,3,16
4,11,3,17
4,12,3,18
4,13,3,19
4,14,3,20
4,15,3,21
4,16,3,22
4,17,3,23
4,18,3,24
4,19,3,25
4,20,3,26
4,21,3,27
4,22,3,28
4,23,4,0
4,24,4,1
4,25,4,2
4,26,4,3
4,27,4,4
4,28,4,5
4,29,4,6
4,30,4,7
4,31,4,8
5,0,3,22
5,1,3,23
5,2,3,24
5,3,3,25
5,4,3,26
5,5,3,27
5,6,3,28
5,7,4,0
5,8,4,1
5,9,4,2
5,10,4,3
5,11,4,4
5,12,4,5
5,13,4,6
5,14,4,7
5,15,4,8
5,16,4,9
5,17,4,10
5,18,4,11
5,19,4,12
5,20,4,13
5,21,4,14
5,22,4,15
5,23,4,16
5,24,4,17
5,25,4,18
5,26,4,19
5,27,4,20
5,28,4,21
5,29,4,22
5,30,4,23
5,31,4,24
6,0,4,9
6,1,4,10
6,2,4,11
6,3,4,12
6,4,4,13
6,5,4,14
6,6,4,15
6,7,4,16
6,8,4,17
6,9,4,18
6,10,4,19
6,11,4,20
6,12,4,21
6,13,4,22
6,14,4,23
6,15,4,24
6,16,4,25
6,17,4,26
6,18,4,27
6,19,4,28
6,20,5,0
6,21,5,1
6,22,5,2
6,23,5,3
6,24,5,4
6,25,5,5
6,26,5,6
6,27,5,7
6,28,5,8
6,29,5,9
6,30,5,10
6,31,5,11
7,0,4,25
7,1,4,26
7,2,4,27
7,3,4,28
7,4,5,0
7,5,5,1
7,6,5,2
7,7,5,3
7,8,5,4
7,9,5,5
7,10,5,6
7,11,5,7
7,12,5,8
7,13,5,9
7,14,5,10
7,15,5,11
7,16,5,12
7,17,5,13
7,18,5,14
7,19,5,15
7,20,5,16
7,21,5,17
7,22,5,18
7,23,5,19
7,24,5,20
7,25,5,21
7,26,5,22
7,27,5,23
7,28,5,24
7,29,5,25
7,30,5,26
7,31,5,27
8,0,5,12
8,1,5,13
8,2,5,14
8,3,5,15
8,4,5,16
8,5,5,17
8,6,5,18
8,7,5,19
8,8,5,20
8,9,5,21
8,10,5,22
8,11,5,23
8,12,5,24
8,13,5,25
8,14,5,26
8,15,5,27
8,16,5,28
8,17,6,0
8,18,6,1
8,19,6,2
8,20,6,3
8,21,6,4
8,22,6,5
8,23,6,6
8,24,6,7
8,25,6,8
8,26,6,9
8,27,6,10
8,28,6,11
8,29,6,12
8,30,6,13
8,31,6,14
9,0,5,28
9,1,6,0
9,2,6,1
9,3,6,2
9,4,6,3
9,5,6,4
9,6,6,5
9,7,6,6
9,8,6,7
9,9,6,8
9,10,6,9
9,11,6,10
9,12,6,11
9,13,6,12
9,14,6,13
9,15,6,14
9,16,6,15
9,17,6,16
9,18,6,17
9,19,6,18
9,20,6,19
9,21,6,20
9,22,6,21
9,23,6,22
9,24,6,23
9,25,6,24
9,26,6,25
9,27,6,26
9,28,6,27
9,29,6,28
9,30,7,0
9,31,7,1
10,0,6,15
10,1,6,16
10,2,6,17
10,3,6,18
10,4,6,19
10,5,6,20
10,6,6,21
10,7,6,22
10,8,6,23
10,9,6,24
10,10,6,25
10,11,6,26
10,12,6,27
10,13,6,28
10,14,7,0
10,15,7,1
10,16,7,2
10,17,7,3
10,18,7,4
10,19,7,5
10,20,7,6
10,21,7,7
10,22,7,8
10,23,7,9
10,24,7,10
10,25,7,11
10,26,7,12
10,27,7,13
10,28,7,14
10,29,7,15
10,30,7,16
10,31,7,17
11,0,7,2
11,1,7,3
11,2,7,4
11,3,7,5
11,4,7,6
11,5,7,7
11,6,7,8
11,7,7,9
11,8,7,10
11,9,7,11
11,10,7,12
11,11,7,13
11,12,7,14
11,13,7,15
11,14,7,16
11,15,7,17
11,16,7,18
11,17,7,19
11,18,7,20
11,19,7,21
11,20,7,22
11,21,7,23
11,22,7,24
11,23,7,25
11,24,7,26
11,25,7,27
11,26,7,28
11,27,8,0
11,28,8,1
11,29,8,2
11,30,8,3
11,31,8,4
12,0,7,18
12,1,7,19
12,2,7,20
12,3,7,21
12,4,7,22
12,5,7,23
12,6,7,24
12,7,7,25
12,8,7,26
12,9,7,27
12,10,7,28
12,11,8,0
12,12,8,1
12,13,8,2
12,14,8,3
12,15,8,4
12,16,8,5
12,17,8,6
12,18,8,7
12,19,8,8
12,20,8,9
12,21,8,10
12,22,8,11
12,23,8,12
12,24,8,13
12,25,8,14
12,26,8,15
12,27,8,16
12,28,8,17
12,29,8,18
12,30,8,19
12,31,8,20
13,0,8,5
13,1,8,6
13,2,8,7
13,3,8,8
13,4,8,9
13,5,8,10
13,6,8,11
13,7,8,12
13,8,8,13
13,9,8,14
13,10,8,15
13,11,8,16
13,12,8,17
13,13,8,18
13,14,8,19
13,15,8,20
13,16,8,21
13,17,8,22
13,18,8,23
13,19,8,24
13,20,8,25
13,21,8,26
13,22,8,27
13,23,8,28
13,24,9,0
13,25,9,1
13,26,9,2
13,27,9,3
13,28,9,4
13,29,9,5
13,30,9,6
13,31,9,7
14,0,8,21
14,1,8,22
14,2,8,23
14,3,8,24
14,4,8,25
14,5,8,26
14,6,8,27
14,7,8,28
14,8,9,0
14,9,9,1
14,10,9,2
14,11,9,3
14,12,9,4
14,13,9,5
14,14,9,6
14,15,9,7
14,16,9,8
14,17,9,9
14,18,9,10
14,19,9,11
14,20,9,12
14,21,9,13
14,22,9,14
14,23,9,15
14,24,9,16
14,25,9,17
14,26,9,18
14,27,9,19
14,28,9,20
14,29,9,21
14,30,9,22
14,31,9,23
15,0,9,8
15,1,9,9
15,2,9,10
15,3,9,11
15,4,9,12
15,5,9,13
15,6,9,14
15,7,9,15
15,8,9,16
15,9,9,17
15,10,9,18
15,11,9,19
15,12,9,20
15,13,9,21
15,14,9,22
15,15,9,23
15,16,9,24
15,17,9,25
15,18,9,26
15,19,9,27
15,20,9,28
15,21,10,0
15,22,10,1
15,23,10,2
15,24,10,3
15,25,10,4
15,26,10,5
15,27,10,6
15,28,10,7
15,29,10,8
15,30,10,9
15,31,10,10
16,0,9,24
16,1,9,25
16,2,9,26
16,3,9,27
16,4,9,28
16,5,10,0
16,6,10,1
16,7,10,2
16,8,10,3
16,9,10,4
16,10,10,5
16,11,10,6
16,12,10,7
16,13,10,8
16,14,10,9
16,15,10,10
16,16,10,11
16,17,10,12
16,18,10,13
16,19,10,14
16,20,10,15
16,21,10,16
16,22,10,17
16,23,10,18
16,24,10,19
16,25,10,20
16,26,10,21
16,27,10,22
16,28,10,23
16,29,10,24
16,30,10,25
16,31,10,26
17,0,10,11
17,1,10,12
17,2,10,13
17,3,10,14
17,4,10,15
17,5,10,16
17,6,10,17
17,7,10,18
17,8,10,19
17,9,10,20
17,10,10,21
17,11,10,22
17,12,10,23
17,13,10,24
17,14,10,25
17,15,10,26
17,16,10,27
17,17,10,28
17,18,11,0
17,19,11,1
17,20,11,2
17,21,11,3
17,22,11,4
17,23,11,5
17,24,11,6
17,25,11,7
17,26,11,8
17,27,11,9
17,28,11,10
17,29,11,11
17,30,11,12
17,31,11,13
18,0,10,27
18,1,10,28
18,2,11,0
18,3,11,1
18,4,11,2
18,5,11,3
18,6,11,4
18,7,11,5
18,8,11,6
18,9,11,7
18,10,11,8
18,11,11,9
18,12,11,10
18,13,11,11
18,14,11,12
18,15,11,13
18,16,11,14
18,17,11,15
18,18,11,16
18,19,11,17
18,20,11,18
18,21,11,19
18,22,11,20
18,23,11,21
18,24,11,22
18,25,11,23
18,26,11,24
18,27,11,25
18,28,11,26
18,29,11,27
18,30,11,28
18,31,12,0
19,0,11,14
19,1,11,15
19,2,11,16
19,3,11,17
19,4,11,18
19,5,11,19
19,6,11,20
19,7,11,21
19,8,11,22
19,9,11,23
19,10,11,24
19,11,11,25
19,12,11,26
19,13,11,27
19,14,11,28
19,15,12,0
19,16,12,1
19,17,12,2
19,18,12,3
19,19,12,4
19,20,12,5
19,21,12,6
19,22,12,7
19,23,12,8
19,24,12,9
19,25,12,10
19,26,12,11
19,27,12,12
19,28,12,13
19,29,12,14
19,30,12,15
19,31,12,16
20,0,12,1
20,1,12,2
20,2,12,3
20,3,12,4
20,4,12,5
20,5,12,6
20,6,12,7
20,7,12,8
20,8,12,9
20,9,12,10
20,10,12,11
20,11,12,12
20,12,12,13
20,13,12,14
20,14,12,15
20,15,12,16
20,16,12,17
20,17,12,18
20,18,12,19
20,19,12,20
20,20,12,21
20,21,12,22
20,22,12,23
20,23,12,24
20,24,12,25
20,25,12,26
20,26,12,27
20,27,12,28
20,28,13,0
20,29,13,1
20,30,13,2
20,31,13,3
21,0,12,17
21,1,12,18
21,2,12,19
21,3,12,20
21,4,12,21
21,5,12,22
21,6,12,23
21,7,12,24
21,8,12,25
21,9,12,26
21,10,12,27
21,11,12,28
21,12,13,0
21,13,13,1
21,14,13,2
21,15,13,3
21,16,13,4
21,17,13,5
21,18,13,6
21,19,13,7
21,20,13,8
21,21,13,9
21,22,13,10
21,23,13,11
21,24,13,12
21,25,13,13
21,26,13,14
21,27,13,15
21,28,13,16
21,29,13,17
21,30,13,18
21,31,13,19
22,0,13,4
22,1,13,5
22,2,13,6
22,3,13,7
22,4,13,8
22,5,13,9
22,6,13,10
22,7,13,11
22,8,13,12
22,9,13,13
22,10,13,14
22,11,13,15
22,12,13,16
22,13,13,17
22,14,13,18
22,15,13,19
22,16,13,20
22,17,13,21
22,18,13,22
22,19,13,23
22,20,13,24
22,21,13,25
22,22,13,26
22,23,13,27
22,24,13,28
22,25,14,0
22,26,14,1
22,27,14,2
22,28,14,3
22,29,14,4
22,30,14,5
22,31,14,6
23,0,13,20
23,1,13,21
23,2,13,22
23,3,13,23
23,4,13,24
23,5,13,25
23,6,13,26
23,7,13,27
23,8,13,28
23,9,14,0
23,10,14,1
23,11,14,2
23,12,14,3
23,13,14,4
23,14,14,5
23,15,14,6
23,16,14,7
23,17,14,8
23,18,14,9
23,19,14,10
23,20,14,11
23,21,14,12
23,22,14,13
23,23,14,14
23,24,14,15
23,25,14,16
23,26,14,17
23,27,14,18
23,28,14,19
23,29,14,20
